Reaction_ID	Reaction_Names	Confidence_Score	References	Notes
R6858	production of tiglylcarnitine	4	"PMID: 8930414, PMID: 14518824"	
R6860	production of hexanoylcarnitine	4	"PMID: 8214594, PMID: 8496747, PMID: 8491807"	
R6865	production of adipoylcarnitine	4	doi:10.1016/j.physletb.2003.10.071	
R6867	production of octanoylcarnitine	4	"PMID: 21083904, PMID: 20413428"	
R6869	production of ocetenoylcarnitine	4	"Go Tajimaa et al,journal of chromatography B,volume 823,issue 2,5 September 2005, Pages 122-130 "	
R6872	production of suberylcarnitine	4	doi:10.1016/j.physletb.2003.10.071	
R6875	transport of Decanoate (n-C10:0) into the cell by diffusion	2	"Glatz JFC, Luiken JJFP, Bonen A. (2010). Physiological Reviews 90: 367-417, Kamp F, Hamilton JA. (2006). Prostaglandins, Leukotrienes and Essential Fatty Acids 75: 149-59, PMCID: PMC2785172, Evtodienko VY, Bondarenko DI, Antonenko YN. (1999). Biochimica et Biophysica Acta (BBA) - Biomembranes 1420: 95-103"	simple diffusion of fatty acids freely across membranes
R6886	absorption or uptake of 13-docosenoic acid into cells	3	"PMID: 16868315, PMID: 17901542, journal of lipid research (2006) vol 47 page 665-672, 16357361, PMID: 17495600"	fatty acid transport proteins mediate the uptake of long and very long chain fatty acids. These transport proteins are widely distributed and thought to possess fatty acid activating properties. May requires other proteins also.
R6932	fatty acid beta oxidation(C10:1-->C10:2)m	4	PMID: 15337167	acyl coA dehydrogenase enzyme catalyzes this reaction in  mitochondria.first step of beta oxidation
R6933	fatty acid beta oxidation(C10:1-->C10:2)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R6935	fatty acid beta oxidation(C10:1-->C8:0)x	4	PMID:20558530	peroxisomal beta oxidation reaction.
R6937	isomerization(C10:1)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R6941	fatty acid beta oxidation(C10:2-->C10:3)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R6943	fatty acid beta oxidation(C10:2-->C8:1)x	4	PMID:20558530	peroxisomal beta oxidation reaction.
R6945	isomerization(C10:2)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R6950	fatty acid beta oxidation(C10-->C8)x	4	"PMID: 11411544, HMDB01070"	"CPT1,CACT and CPT2 in mitochondria then tranports it to mitochondrial matrix where it is further oxidized."
R6951	fatty acid beta oxidation(C10DC-->C8DC)	4	"PMID:15060085,PMID:9827430"	
R6952	fatty acid beta oxidation(C11br-->C9br)x	4	"HMDB06202,PMID:11591435"	"In Recon 1, the neutral formula for dmnoncoa should be corrected to C32H56N7O17P3S (HMDB11604) and charged formula to C32H52N7O17P3S with -4 as the charge. Therefore the reaction appears unbalanced here. "
R6955	fatty acid beta xoidation(C12:1-->C10)x	4	"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224"	
R6956	isomerization(C12:1)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	
R6959	isomerization(C12:2)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R6961	fatty acid beta oxidation(C12:3-->C10:2)x	4	"PMID:20558530, PMID:20064629"	beta oxidation
R6963	isomerization(C12:3)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta-3-cis-delta2-trans isomerase
R6965	fatty acid beta oxidation(C12-->C10)x	4	"PMID: 11411544, HMDB06404"	"after this stage,the activated fatty acid is transported to mitochondria,carnitine helps in the export."
R6967	fatty acid beta oxidation(C12DC-->C10DC)x	4	"PMID:15060085,PMID:9827430,The Tohoku Journal of Experimental Medicine.Vol. 221 (2010) , No. 3 pp.191-195"	
R6969	formation of dodecanedioyl carnitine	4	"Korman SH, Waterham HR, Gutman A, Jakobs C, Wanders RJA. (2005). Molecular Genetics and Metabolism 86: 337-43"	elevated in urine in C-12 dicarboxylic aciduria 
R6971	fatty acid beta oxidation(C13br-->C11br)x	4	"HMDB02221,PMID:11591435"	
R6974	fatty acid beta xoidation(C14:1-->C12:1)x	4	"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224"	
R6977	fatty acid beta oxidation(C14:2-->C12:2)x	4	PMID:20558530	peroxisomal beta oxidation reaction
R6980	fatty acid beta oxidation(C14:3-->C12:3)x	4	PMID:20558530	peroxisomal beta oxidation reaction.
R6982	fatty acid beta oxidation(C14-->C12)x	4	PMID: 11411544	the peroxosomal enzymes i.e acyl coA oxidases are specific for C6 or C4 acyl coA.
R6984	fatty acid beta oxidation(C14DC-->C12DC)x	4	"PMID:15060085,PMID:9827430, HMDB02095,PMID: 12651823"	"as a C3DC.HMDB02095,PMID: 12651823"
R6985	fatty acid activation(C15)x	4	"PMID:11591435,PMID: 10198260"	PMID:11591435
R6986	fatty acid beta oxidation(C15br-->C13br)x	2	"HMDB02396,PMID:11591435"	
R6991	fatty acid beta xoidation(C16:1-->C14:1)x	4	"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224"	
R6995	fatty acid beta oxidation(C16:3-->C14:2)x	4	PMID:20558530	peroxisomal beta oxidation reaction
R6998	fatty acid beta oxidation(C16:3-->C16:4)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R7001	isomerization(C16:3)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R7003	fatty acid beta oxidation(C16:4-->C14:3)x	4	"PMID:7876265, PMID:20558530"	beta oxidation
R7006	fatty acid beta oxidation(C16:4-->C16:5)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R7009	isomerization(C16:4)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis- delta2-trans isomerase
R7012	fatty acid activation(C16br)x	4	PMID: 11591435	
R7014	fatty acid beta oxidation(C16-->C14)x	4	"PMID: 11411544, PMID:7876265, HMDB01521"	sequential beta oxidation of palmitoyl coA upto the stage of either hexanoyl coA or butanoyl coA.
R7016	fatty acid beta oxidation(C16DC-->C14DC)x	4	"PMID:15060085,PMID:9827430"	to acetyl coA and accumulates and then combines with free carnitine and ultimately excreated in urine
R7021	fatty acid beta xoidation(C18:1-->C16:1)x	4	"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224, PMID: 3821403"	
R7028	fatty acid beta oxidation(C18:4-->C16:3)x	4	"PMID:20064629, journal of lipid research 1998 vol 39 pages 2161-2171"	peroxisomal beta oxidation reaction
R7030	fatty acid beta oxidation(C18:4-->C16:4)x	4	PMID:20558530	peroxisoaml beta oxidation
R7032	isomerization(C18:4)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R7036	fatty acid beta xoidation(C20:1-->C18:1)x	4	"PMID: 20626744, PMID: 3821403"	one cycle of peroxisomal beta oxidation
R7038	fatty acid beta oxidation(C20:4-->C20:5)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R7039	fatty acid beta oxidation(C20:5-->C18:4)x	4	"PMID:20064629, journal of lipid research 1998 vol 39 pages 2161-2171"	peroxisomal beta oxidation reaction
R7041	fatty acid beta oxidation(C22:1-->C20:1)x	4	PMID: 20626744 	one cycle of peroxisomal beta oxidation
R7043	fatty acid beta oxidation(C22:5-->C20:4)x	4	"PMID:20064629, journal of lipid research 1998 vol 39 pages 2161-2171"	peroxisomal beta oxidation
R7045	fatty acid beta oxidation(C22:5-->C22:6)x	4	"PMID: 18536048, PMID: 17458872"	peroxisomal acyl coA oxidase reaction.
R7047	isomerization(C22:5)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R7054	fatty acid beta oxidation(C22-->C20)x	4	PMID: 11124748 	one cycle of peroxisomal beta oxidation
R7057	fatty acid beta oxidation(C24:1-->C22:1)x	4	PMID: 20626744 	one cycle of peroxisomal beta oxidation
R7058	Fatty acid beta oxidation(C24-->C22)x	4	PMCID:PMC1131640	one cycle of beta oxidation.this occurs in peroxisomes.the peroxisomal multifunctional enzyme acts as a catalyst for the formation of ketoacyl intermediates.
R7059	malonylcoa-->malonylcarnitine	4	"PMID: 12651823,PMID: 18192268"	"due to deficiency of malonyl coA decarboxylase enzyme,malonyl coA cannot be converted back "
R7061	succ-->C4DCc	4	PMID:15060085	
R7063	production of glutaryl carnitine	4	"http://www.perkinelmergenetics.com/GlutaricAcidemiaTypeI.html ,  PMID: 16602100"	"1.2.4.2 is the E.C no.due to the absence of glutaryl coA dehydrogenase, glutaryl coA accumulates and combines with free carnitine forming glutaryl carnitine.C5DC then excreated in urine."
R7065	(3-hydroxyisovalerylcoa-->3-hydroxyisovalerylcarnitine)c	4	"clinica chimica acta 240 (1995) 35-51, http://www.perkinelmergenetics.com/3Hydroxy3MethylglutarylCoALyaseDeficiency.html"	deficiency of 3-methylcrotonylcoa carboxylase.clinica chimica acta 240 (1995) 35-51
R7067	fatty acid beta oxidation(C6:1-->C4:0)x	4	PMID:20064629	"peroxisomal beta oxidation reaction.the butyryl coA is then transported to mitochondria, where it is further oxidized."
R7069	isomerization(C6:1)x	4	"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"	delta3-cis->delta 2-trans isomerase
R7071	fatty acid beta oxidation(C6-->C4)x	4	"PMID: 11356164, HMDB01088"	
R7072	fatty acid beta oxidation(C6DC-->C4DC)x	4	"PMID:15060085,PMID:9827430"	
R7075	fatty acid beta oxidation(C8:1-->C6:1)x	4	PMID:20558530	peroxisomal beta oxidation reaction.
R7077	fatty acid beta oxidation(C8-->C6)x	4	"PMID: 11411544, HMDB02845"	
R7078	fatty acid beta oxidation(C8DC-->C6DC)x	4	"PMID:15060085,PMID:9827430"	
R7092	fatty acid beta oxidation(C12:2-->C10:1)x	4	PMID:20558530	peroxisomal beta oxidation
R7116	transport of 11-octadecenoyl carnitine into the mitochondrial matrix	4	"Biochemica et Biophysica Acta 1486(2000) 1-17, Eur. J. Biochem. 244, 1-14 (1997) FEBS 1997, Biochemica et Biophysica Acta 1546(2001) 21-43."	
R7119	uptake of vaccenic acid by cells	3	"PMID: 16868315, PMID: 17901542, journal of lipid research (2006) vol 47 page 665-672, 16357361, PMID: 17495600"	fatty acid transport proteins mediate the uptake of long and very long chain fatty acids. These transport proteins are widely distributed and thought to possess fatty acid activating properties. May requires other proteins also.
R7122	transport of Octadecenoyl-CoA into mitochondrial matrix	4	"Biochemica et Biophysica Acta 1486(2000) 1-17, Eur. J. Biochem. 244, 1-14 (1997) FEBS 1997, Biochemica et Biophysica Acta 1546(2001) 21-43."	
R7169	Transport of L-Carnosine by hPT3 or hPT4 peptide transporter.	4	"PMID: 16289537, PMID: 12905028, PMID: 17681807"	"hPT3 (human peptide transporter 3) transports histidine and di-peptides from the lysosomes into the cytosol. Co-transports proton, expressed in lung, thymus, spleen and faintly in brain, placenta, liver, adrenal gland and heart (PMID: 12905028). hPT4 expressed in brain, placenta and retina. Transports carnosine and histidine in a proton symport mechanism. (PMID: 12905028)."
R7198	Transport of L-Histidine by hPT3 or hPT4 peptide transporters.	4	"PMID: 16289537, PMID: 12905028, PMID: 17681807"	"hPT3 (human peptide transporter 3) transports histidine and di-peptides from the lysosomes into the cytosol. Co-transports proton, expressed in lung, thymus, spleen and faintly in brain, placenta, liver, adrenal gland and heart (PMID: 12905028). hPT4 expressed in brain, placenta and retina. Transports carnosine and histidine in a proton symport mechanism. (PMID: 12905028)"
R7255	efflux of alpha-Tocopherol into the lyphatics in chylomicrons	4	"PMID: 15213020, PMID: 17320165"	ATP binding cassete required for efflux of the vitamin E into the lymph form the enterocytes.
